aspect,adjective,aspect_adj,predictions_overall,predictions_absa_pre
experience,great,great experience,Positive,Positive
food,ready,ready food,Negative,Negative
time,first,first time,Negative,Neutral
ambience,not much,not much ambience,Negative,Negative
service,average,average service,Negative,Negative
whopper patty,not fresh,not fresh whopper patty,Negative,Negative
chain restaurant,big,big chain restaurant,Negative,Neutral
patty,hot,hot patty,Negative,Neutral
customer service,terrible,terrible customer service,Negative,Negative
fry,small,small fry,Negative,Neutral
fry,full,full fry,Negative,Neutral
fry,half,half fry,Negative,Neutral
fry,more,more fry,Negative,Neutral
attitude,unprofessional,unprofessional attitude,Negative,Negative
person,worst,worst person,Negative,Negative
order service,great,great order service,Positive,Positive
it,hot,hot it,Positive,Positive
it,ready,ready it,Positive,Neutral
burger king,better,better burger king,Positive,Positive
environment,not good,not good environment,Positive,Negative
food,not bad,not bad food,Negative,Negative
food,awful,awful food,Negative,Negative
burger,cold,cold burger,Negative,Negative
half,stale,stale half,Negative,Negative
onion ring,good,good onion ring,Negative,Positive
customer service,worst,worst customer service,Negative,Negative
customer service,poor,poor customer service,Negative,Negative
food,cold,cold food,Negative,Negative
food,moldy,moldy food,Negative,Negative
man,poor,poor man,Negative,Negative
guy,new,new guy,Positive,Neutral
guy,slow,slow guy,Positive,Negative
guy,little,little guy,Positive,Neutral
guy,clean,clean guy,Positive,Positive
guy,hot,hot guy,Positive,Positive
workwear window,polite,polite workwear window,Neutral,Positive
they,not right,not right they,Negative,Neutral
it,annoying,annoying it,Negative,Negative
i,diabetic,diabetic i,Negative,Neutral
burger king,not good,not good burger king,Negative,Negative
knowledge,prior,prior knowledge,Negative,Neutral
person,second,second person,Negative,Neutral
customer,other,other customer,Negative,Neutral
expectation,high,high expectation,Negative,Negative
place,filthy,filthy place,Negative,Negative
quality,sub,sub quality,Negative,Negative
quality,par,par quality,Negative,Negative
thru,drive,drive thru,Negative,Neutral
manager,unprofessional,unprofessional manager,Negative,Negative
people,professional,professional people,Negative,Positive
time,not good,not good time,Negative,Negative
time,valuable,valuable time,Negative,Negative
work,hungry,hungry work,Negative,Neutral
location,particular,particular location,Negative,Neutral
one,not pleasant,not pleasant one,Negative,Negative
it,cold,cold it,Negative,Neutral
facility,filthy,filthy facility,Negative,Negative
job,separate,separate job,Negative,Neutral
window,drive,drive window,Negative,Neutral
window,thru,thru window,Negative,Neutral
customer,more,more customer,Negative,Neutral
store manger,better,better store manger,Negative,Neutral
assistant manger,rude,rude assistant manger,Negative,Negative
time,first,first time,Negative,Neutral
this,normal,normal this,Negative,Neutral
they,least,least they,Negative,Neutral
order,ready,ready order,Negative,Neutral
order,least,least order,Negative,Neutral
sooo,ready,ready sooo,Negative,Neutral
order,incomplete,incomplete order,Negative,Negative
number,different,different number,Negative,Neutral
i,refunded,refunded i,Negative,Neutral
meal,incomplete,incomplete meal,Negative,Negative
this,unacceptable,unacceptable this,Negative,Negative
this,unprofessional,unprofessional this,Negative,Negative
contact number,working,working contact number,Negative,Neutral
chain restaurant,many,many chain restaurant,Negative,Neutral
location,worst,worst location,Negative,Negative
food restaurant,fast,fast food restaurant,Negative,Neutral
food restaurant,fast,fast food restaurant,Negative,Neutral
expectation,low,low expectation,Negative,Negative
time,several,several time,Negative,Neutral
time,multiple,multiple time,Negative,Negative
time,actual,actual time,Negative,Negative
they,correct,correct they,Negative,Neutral
they,wrong,wrong they,Negative,Negative
it,incomplete,incomplete it,Negative,Negative
window,pick,pick window,Negative,Neutral
order,mobile,mobile order,Negative,Neutral
order,complete,complete order,Negative,Neutral
speaker,slow,slow speaker,Negative,Negative
lie,total,total lie,Negative,Negative
restaurant location,fast,fast restaurant location,Negative,Neutral
color,flying,flying color,Negative,Neutral
attitude,bad,bad attitude,Negative,Negative
burger king,worst,worst burger king,Negative,Negative
service,worst,worst service,Negative,Negative
burger,cold,cold burger,Negative,Negative
it,not least,not least it,Negative,Neutral
sandwich,hot,hot sandwich,Negative,Positive
standard,highest,highest standard,Negative,Neutral
time,3rd,3rd time,Negative,Negative
time,last,last time,Negative,Neutral
time,wrong,wrong time,Negative,Negative
uber,disrespectful,disrespectful uber,Negative,Negative
they,sad,sad they,Negative,Neutral
burger king,worst,worst burger king,Negative,Negative
burger king,absolute,absolute burger king,Negative,Neutral
soda,flat,flat soda,Negative,Neutral
core,cold,cold core,Negative,Negative
she,wrong,wrong she,Negative,Negative
time,whole,whole time,Negative,Neutral
minute,many,many minute,Negative,Neutral
disappointment,such,such disappointment,Negative,Neutral
order,final,final order,Negative,Neutral
order,best,best order,Negative,Negative
service,worst,worst service,Negative,Negative
place,disgusting,disgusting place,Negative,Negative
place,rundown,rundown place,Negative,Neutral
staff replacement,complete,complete staff replacement,Negative,Neutral
order,not correct,not correct order,Negative,Negative
place,dirty,dirty place,Negative,Negative
grief,good,good grief,Negative,Positive
location,particular,particular location,Negative,Neutral
thing,wrong,wrong thing,Negative,Negative
thing,wrong,wrong thing,Negative,Negative
ugh,more,more ugh,Negative,Neutral
drink,wrong,wrong drink,Negative,Negative
attitude,frustrating,frustrating attitude,Negative,Negative
people,new,new people,Negative,Neutral
excuse,sorry,sorry excuse,Negative,Neutral
thing,same,same thing,Negative,Neutral
thing,exact,exact thing,Negative,Neutral
bk,fyi,fyi bk,Negative,Neutral
experience,worst,worst experience,Negative,Negative
it,inaccurate,inaccurate it,Negative,Negative
delivery driver,cool,cool delivery driver,Negative,Positive
neither,Ô∏è,Ô∏è neither,Negative,Neutral
service,fast,fast service,Positive,Positive
room,clean,clean room,Positive,Positive
room,dinning,dinning room,Positive,Neutral
people,nice,nice people,Positive,Positive
people,most,most people,Positive,Neutral
people,other,other people,Positive,Neutral
place,nice,nice place,Positive,Positive
bite,quick,quick bite,Positive,Neutral
burger king,other,other burger king,Positive,Neutral
place,nice,nice place,Negative,Positive
staff,previous,previous staff,Negative,Neutral
employee,unmotivated,unmotivated employee,Negative,Negative
order,wrong,wrong order,Negative,Negative
i,bad,bad i,Negative,Negative
milkshake,missing,missing milkshake,Negative,Neutral
wife,pregnant,pregnant wife,Negative,Neutral
king,impossible,impossible king,Negative,Neutral
king,impossible,impossible king,Negative,Neutral
burger,not balanced,not balanced burger,Negative,Negative
pickle,super,super pickle,Negative,Neutral
pickle,salty,salty pickle,Negative,Neutral
cheeseburger fry,double,double cheeseburger fry,Negative,Neutral
cheeseburger fry,french,french cheeseburger fry,Negative,Neutral
onion ring,fresh,fresh onion ring,Negative,Positive
day,off,off day,Negative,Neutral
food standard,not fast,not fast food standard,Negative,Negative
water,free,free water,Negative,Positive
bite,quick,quick bite,Negative,Neutral
you,cheap,cheap you,Negative,Neutral
lot,adjacent,adjacent lot,Negative,Neutral
second,few,few second,Negative,Neutral
line,bottom,bottom line,Negative,Neutral
wait,little,little wait,Negative,Negative
meal,fesh,fesh meal,Negative,Neutral
meal,hot,hot meal,Negative,Neutral
i,about,about i,Negative,Neutral
hand,full,full hand,Negative,Neutral
face,friendly,friendly face,Positive,Positive
jersey avenue,central,central jersey avenue,Positive,Neutral
staff,kind,kind staff,Positive,Positive
staff,helpful,helpful staff,Positive,Positive
manager,assistant,assistant manager,Negative,Neutral
manager,second,second manager,Negative,Neutral
manager,nasty,nasty manager,Negative,Negative
thru order,drive,drive thru order,Negative,Neutral
car,full,full car,Negative,Neutral
car,large,large car,Negative,Neutral
order,large,large order,Negative,Neutral
tone,nasty,nasty tone,Negative,Negative
she,not right,not right she,Negative,Negative
she,right,right she,Negative,Neutral
she,capable,capable she,Negative,Neutral
mind,right,right mind,Negative,Neutral
bit,slight,slight bit,Negative,Neutral
attitude,same,same attitude,Negative,Neutral
area,busy,busy area,Positive,Negative
good.customer service,ok,ok good.customer service,Positive,Positive
east,dirty,dirty east,Positive,Negative
population,heavy,heavy population,Positive,Neutral
clean.good,more,more clean.good,Positive,Neutral
parking,free,free parking,Positive,Positive
tasty,good,good tasty,Positive,Positive
staff,fast,fast staff,Positive,Positive
staff,friendly,friendly staff,Positive,Positive
opportunity,equal,equal opportunity,Positive,Neutral
employee,favorite,favorite employee,Positive,Positive
man,young,young man,Positive,Neutral
man,young,young man,Positive,Neutral
smile,big,big smile,Positive,Neutral
nephew,disabled,disabled nephew,Positive,Neutral
who,independent,independent who,Positive,Neutral
company,other,other company,Positive,Neutral
branch,worst,worst branch,Negative,Negative
mozzarella stick,fried,fried mozzarella stick,Negative,Neutral
it,cold,cold it,Negative,Neutral
it,flat,flat it,Negative,Neutral
it,warm,warm it,Negative,Positive
styrofoam cup,same,same styrofoam cup,Negative,Neutral
management,bad,bad management,Negative,Negative
they,wrong,wrong they,Positive,Negative
time,scheduled,scheduled time,Positive,Neutral
burger king,first,first burger king,Negative,Neutral
desperation,sad,sad desperation,Negative,Neutral
people,homeless,homeless people,Negative,Negative
bus terminal,old,old bus terminal,Negative,Neutral
fat,cheap,cheap fat,Negative,Neutral
fry,ok,ok fry,Negative,Neutral
customer service,worst,worst customer service,Negative,Negative
customer service,worst,worst customer service,Negative,Negative
drive thru,worst,worst drive thru,Negative,Negative
food,fine,fine food,Negative,Positive
luck,good,good luck,Negative,Positive
item,missing,missing item,Negative,Negative
burger king,worst,worst burger king,Negative,Negative
it,filthy,filthy it,Negative,Neutral
it,busy,busy it,Negative,Negative
hygiene behavior,poor,poor hygiene behavior,Negative,Negative
woman,young,young woman,Negative,Neutral
food,not right,not right food,Negative,Negative
food,not overcooked,not overcooked food,Negative,Negative
food,cold,cold food,Negative,Negative
stomach ache,little,little stomach ache,Negative,Neutral
place,not return,not return place,Negative,Negative
burger king,typical,typical burger king,Negative,Neutral
menu item,normal,normal menu item,Negative,Neutral
king,sketchy,sketchy king,Negative,Negative
king,little,little king,Negative,Neutral
individual,same,same individual,Negative,Neutral
service,terrible,terrible service,Negative,Negative
service,bad,bad service,Negative,Negative
i,sorry,sorry i,Negative,Neutral
money,homeless,homeless money,Negative,Negative
they,understaffed,understaffed they,Negative,Negative
they,overwhelmed,overwhelmed they,Negative,Negative
they,dirty,dirty they,Negative,Negative
attitude,nasty,nasty attitude,Negative,Negative
attitude,right,right attitude,Negative,Neutral
fry,french,french fry,Negative,Neutral
one,new,new one,Negative,Neutral
place,dirty,dirty place,Negative,Negative
burger,cold,cold burger,Negative,Negative
place,dirty,dirty place,Negative,Negative
feeling,healthy,healthy feeling,Negative,Negative
they,aware,aware they,Negative,Neutral
restaurant,busy,busy restaurant,Negative,Negative
food,different,different food,Negative,Neutral
cheeseburger,regular,regular cheeseburger,Negative,Neutral
staff,rude,rude staff,Negative,Negative
staff,super,super staff,Negative,Neutral
staff,slow,slow staff,Negative,Negative
staff,busy,busy staff,Negative,Negative
staff,only,only staff,Negative,Neutral
spot,better,better spot,Negative,Positive
burger king,crappy,crappy burger king,Negative,Neutral
place,last,last place,Negative,Neutral
they,disappointing,disappointing they,Negative,Negative
service,not bad,not bad service,Neutral,Positive
fly,many,many fly,Neutral,Neutral
burger,impossible,impossible burger,Neutral,Neutral
burger,great,great burger,Neutral,Positive
location,particular,particular location,Negative,Neutral
burger king,worst,worst burger king,Negative,Negative
it,horrible,horrible it,Negative,Negative
cashier,not good,not good cashier,Neutral,Negative
question,simple,simple question,Neutral,Neutral
review,bad,bad review,Negative,Negative
burger king,worst,worst burger king,Negative,Negative
rating,bad,bad rating,Negative,Negative
fry,hard,hard fry,Negative,Negative
service,worst,worst service,Negative,Negative
costumer,not acknowledge,not acknowledge costumer,Negative,Negative
chit chat,important,important chit chat,Negative,Neutral
onions ring,large,large onions ring,Negative,Neutral
which,hard,hard which,Negative,Negative
cheeseburger,double,double cheeseburger,Negative,Neutral
burger king,worst,worst burger king,Negative,Negative
delivery order,incomplete,incomplete delivery order,Negative,Negative
nugget,burnt,burnt nugget,Negative,Negative
phone call,numerous,numerous phone call,Negative,Neutral
phone call,unanswered,unanswered phone call,Negative,Negative
place,great,great place,Positive,Positive
place,clean,clean place,Positive,Positive
it,tight,tight it,Positive,Neutral
burgerkinf,basic,basic burgerkinf,Neutral,Neutral
frill,clean,clean frill,Neutral,Positive
place,favorite,favorite place,Positive,Positive
i,old,old i,Positive,Neutral
whopper,first,first whopper,Positive,Neutral
service,extrodinary,extrodinary service,Positive,Positive
employee,amazing,amazing employee,Positive,Positive
burger king,best,best burger king,Positive,Positive
window,small,small window,Negative,Neutral
everything,confusing,confusing everything,Negative,Negative
you,lucky,lucky you,Negative,Positive
bk,terrible,terrible bk,Negative,Negative
night snack,late,late night snack,Negative,Neutral
time,marked,marked time,Negative,Neutral
doordash,fast,fast doordash,Negative,Neutral
staff,friendly,friendly staff,Positive,Positive
place,whole,whole place,Negative,Neutral
place,filthy,filthy place,Negative,Negative
they,wrong,wrong they,Negative,Negative
joint,better,better joint,Negative,Neutral
joint,local,local joint,Negative,Neutral
service,good,good service,Negative,Positive
wait,long,long wait,Negative,Negative
wait,not right,not right wait,Negative,Negative
location,slowest,slowest location,Negative,Negative
location,disorganized,disorganized location,Negative,Negative
staff,funny,funny staff,Positive,Neutral
they,quick,quick they,Positive,Positive
place,clean,clean place,Positive,Positive
place,important,important place,Positive,Positive
grease,pure,pure grease,Negative,Neutral
service,horrible,horrible service,Negative,Negative
service,slow,slow service,Negative,Negative
service,little,little service,Negative,Negative
order area,take,take order area,Negative,Neutral
staff,patient,patient staff,Negative,Positive
everyone,rude,rude everyone,Negative,Negative
girl,rude,rude girl,Negative,Negative
food restaurant,different,different food restaurant,Negative,Neutral
food restaurant,fast,fast food restaurant,Negative,Neutral
place,great,great place,Negative,Positive
burger craving,late,late burger craving,Negative,Neutral
response,proper,proper response,Negative,Neutral
staff,polite,polite staff,Positive,Positive
luck,good,good luck,Negative,Positive
i,busy,busy i,Negative,Negative
staff,nice,nice staff,Negative,Positive
food,dry,dry food,Negative,Negative
they,hard,hard they,Negative,Negative
they,dry,dry they,Negative,Negative
food,great,great food,Positive,Positive
saving,greater,greater saving,Positive,Neutral
it,good,good it,Positive,Positive
order,last,last order,Negative,Neutral
bathroom,less,less bathroom,Positive,Positive
bathroom,perfect,perfect bathroom,Positive,Positive
food,good,good food,Positive,Positive
speed,good,good speed,Positive,Positive
service,okay,okay service,Positive,Positive
food,good,good food,Positive,Positive
lettuce,nice,nice lettuce,Negative,Positive
food,dark,dark food,Neutral,Neutral
oil,old,old oil,Neutral,Neutral
people,friendly,friendly people,Positive,Positive
bk,worst,worst bk,Negative,Negative
folk,homeless,homeless folk,Negative,Negative
food,not hot,not hot food,Negative,Negative
breakfast sandwich,cold,cold breakfast sandwich,Negative,Negative
bk,good,good bk,Negative,Positive
pinch,broke,broke pinch,Negative,Neutral
food,saggy,saggy food,Negative,Negative
burger king,same,same burger king,Negative,Neutral
burger king,same,same burger king,Negative,Neutral
close,same,same close,Negative,Neutral
place,great,great place,Positive,Positive
it,crazy,crazy it,Negative,Neutral
it,unorganized,unorganized it,Negative,Negative
they,closed,closed they,Negative,Negative
food,cold,cold food,Negative,Negative
burger bun,stale,stale burger bun,Negative,Negative
thing,best,best thing,Negative,Positive
manager,rude,rude manager,Negative,Negative
attitude description,nasty,nasty attitude description,Negative,Negative
time,posted,posted time,Negative,Neutral
place,good,good place,Positive,Positive
meal,quick,quick meal,Positive,Positive
deal,many,many deal,Positive,Neutral
you,short,short you,Positive,Neutral
burger,excellent,excellent burger,Positive,Positive
service,fast,fast service,Positive,Positive
food,better,better food,Positive,Positive
food,fresher,fresher food,Positive,Positive
it,not busy,not busy it,Negative,Negative
staff,more,more staff,Negative,Neutral
it,slow,slow it,Negative,Negative
staff food,nice,nice staff food,Positive,Positive
staff food,great,great staff food,Positive,Positive
location,good,good location,Negative,Positive
staff,slow,slow staff,Negative,Negative
staff,rude,rude staff,Negative,Negative
worker,polite,polite worker,Positive,Positive
üëå,polite,polite üëå,Positive,Positive
counter,whole,whole counter,Positive,Neutral
counter,front,front counter,Positive,Neutral
help,not enough,not enough help,Positive,Negative
place,clean,clean place,Positive,Positive
they,slow,slow they,Negative,Negative
i,not satisfied,not satisfied i,Negative,Negative
burger,good,good burger,Negative,Positive
bun,old,old bun,Negative,Negative
leader,strong,strong leader,Negative,Positive
food,good,good food,Negative,Positive
thing,bad,bad thing,Negative,Neutral
place,loud,loud place,Negative,Negative
they,wrong,wrong they,Negative,Negative
bite,quick,quick bite,Neutral,Neutral
food,usual,usual food,Positive,Neutral
food,fast,fast food,Positive,Neutral
staff,clean,clean staff,Positive,Positive
staff,good,good staff,Positive,Positive
bathroom,nice,nice bathroom,Positive,Positive
bathroom,clean,clean bathroom,Positive,Positive
bathroom,decent,decent bathroom,Positive,Positive
food,decent,decent food,Positive,Positive
food,nasty,nasty food,Negative,Negative
food,awful,awful food,Negative,Negative
order,wrong,wrong order,Negative,Negative
meat,delicious,delicious meat,Positive,Positive
flesh,human,human flesh,Positive,Neutral
end,horrible,horrible end,Negative,Negative
i,sorry,sorry i,Negative,Neutral
burger king,worst,worst burger king,Negative,Negative
waiting,much,much waiting,Negative,Neutral
chicken nugget,best,best chicken nugget,Positive,Positive
place,depressing,depressing place,Negative,Negative
kitchen,same,same kitchen,Negative,Neutral
they,closed,closed they,Negative,Negative
staff,great,great staff,Positive,Positive
people,many,many people,Negative,Neutral
people,homeless,homeless people,Negative,Negative
place,bad,bad place,Negative,Negative
place,dirty,dirty place,Negative,Negative
place,rude,rude place,Negative,Negative
burger,sloppy,sloppy burger,Negative,Negative
burger,cold,cold burger,Negative,Negative
customer service,poor,poor customer service,Negative,Negative
staff,unprofessional,unprofessional staff,Negative,Negative
service,slow,slow service,Negative,Negative
food operation,fast,fast food operation,Negative,Neutral
food,slow,slow food,Neutral,Negative
food,little,little food,Neutral,Neutral
service,slow,slow service,Neutral,Negative
service,little,little service,Neutral,Negative
service,hot,hot service,Neutral,Positive
service,fresh,fresh service,Neutral,Positive
restaurant,good,good restaurant,Positive,Positive
staff,okay,okay staff,Positive,Positive
hand,more,more hand,Neutral,Neutral
food,good,good food,Positive,Positive
food,fast,fast food,Positive,Neutral
service,slow,slow service,Negative,Negative
place,empty,empty place,Negative,Negative
service,horrible,horrible service,Negative,Negative
service,embarrassing,embarrassing service,Negative,Negative
burger,cold,cold burger,Negative,Negative
it,busy,busy it,Negative,Negative
chicken nugget,not good,not good chicken nugget,Neutral,Negative
service,good,good service,Positive,Positive
place,terrible,terrible place,Negative,Negative
food,most,most food,Negative,Neutral
staff,friendly,friendly staff,Positive,Positive
dog turd,complete,complete dog turd,Negative,Neutral
customer service,nice,nice customer service,Positive,Positive
dog,hot,hot dog,Positive,Positive
desert,good,good desert,Positive,Positive
place,quiet,quiet place,Positive,Positive
place,disgusting,disgusting place,Negative,Negative
burger king,terrible,terrible burger king,Negative,Negative
they,slow,slow they,Negative,Negative
management,new,new management,Negative,Neutral
price,cheap,cheap price,Positive,Positive
food,good,good food,Positive,Positive
chicken nugget,old,old chicken nugget,Negative,Negative
chicken nugget,stale,stale chicken nugget,Negative,Negative
customer service,awful,awful customer service,Negative,Negative
customer service,slow,slow customer service,Negative,Negative
customer service,horrible,horrible customer service,Negative,Negative
product,advertised,advertised product,Negative,Neutral
some,not available,not available some,Negative,Negative
they,open,open they,Positive,Neutral
customer service,worst,worst customer service,Negative,Negative
manager,disrespectful,disrespectful manager,Negative,Negative
staff,friendly,friendly staff,Positive,Positive
staff paking,unprofessional,unprofessional staff paking,Neutral,Negative
staff paking,poor,poor staff paking,Neutral,Negative
coupon deal,great,great coupon deal,Positive,Positive
food joint,fast,fast food joint,Positive,Neutral
food place,favorite,favorite food place,Positive,Positive
food place,fast,fast food place,Positive,Neutral
it,nice,nice it,Positive,Positive
it,clear,clear it,Positive,Neutral
service,quick,quick service,Positive,Positive
service,friendly,friendly service,Positive,Positive
service,good,good service,Negative,Positive
cheese burger,best,best cheese burger,Positive,Positive
bathroom,messy,messy bathroom,Negative,Neutral
food,bad,bad food,Negative,Negative
üëå,excellent,excellent üëå,Positive,Positive
place,worst,worst place,Negative,Negative
food,horrible,horrible food,Negative,Negative
place,nice,nice place,Positive,Positive
staff,good,good staff,Negative,Positive
food,quick,quick food,Negative,Negative
food,fast,fast food,Negative,Neutral
it,good,good it,Positive,Positive
service,terrible,terrible service,Negative,Negative
offer,great,great offer,Positive,Positive
worker,rude,rude worker,Negative,Negative
service,quick,quick service,Neutral,Positive
it,good,good it,Neutral,Positive
food,cheap,cheap food,Positive,Positive
crown,extra,extra crown,Negative,Neutral
she,extra,extra she,Negative,Neutral
service,good,good service,Positive,Positive
bathroom,disgusting,disgusting bathroom,Negative,Negative
bathroom,clean,clean bathroom,Negative,Positive
they,least,least they,Negative,Neutral
it,closed,closed it,Negative,Neutral
whopper,vegetable,vegetable whopper,Positive,Neutral
flavor,similar,similar flavor,Positive,Positive
ti,good,good ti,Positive,Positive
bathroom,light,light bathroom,Negative,Neutral
bathroom,shared,shared bathroom,Negative,Neutral
service,lousy,lousy service,Negative,Negative
service,horrible,horrible service,Negative,Negative
food,fresher,fresher food,Positive,Positive
food,cheaper,cheaper food,Positive,Positive
food,good,good food,Positive,Positive
place,fast,fast place,Positive,Neutral
view,good,good view,Positive,Positive
service,good,good service,Positive,Positive
style,good,good style,Positive,Positive
food,fast,fast food,Positive,Neutral
food,simple,simple food,Positive,Neutral
food,cheap,cheap food,Positive,Positive
it,good,good it,Positive,Positive
place,good,good place,Positive,Positive
service,bad,bad service,Negative,Negative
food place,good,good food place,Positive,Positive
food place,fast,fast food place,Positive,Neutral
service,nice,nice service,Neutral,Positive
service,good,good service,Neutral,Positive
family,warm,warm family,Positive,Positive
service,good,good service,Positive,Positive
service,good,good service,Positive,Positive
attention,good,good attention,Positive,Positive
whopper,best,best whopper,Positive,Positive
hamburger,good,good hamburger,Positive,Positive
service,fast,fast service,Positive,Positive
food,nice,nice food,Positive,Positive
food,fresh,fresh food,Positive,Positive
place,clean,clean place,Positive,Positive
customer,not many,not many customer,Negative,Neutral
this,horrible,horrible this,Negative,Negative
pm,ridiculous,ridiculous pm,Negative,Negative
food,not fast,not fast food,Negative,Negative
food,slow,slow food,Negative,Negative
store,open,open store,Positive,Neutral
th environment,warm,warm th environment,Positive,Positive
th environment,beautiful,beautiful th environment,Positive,Positive
place,great,great place,Positive,Positive
food,nice,nice food,Positive,Positive
food,great,great food,Positive,Positive
they,fresh,fresh they,Positive,Positive
they,delicious,delicious they,Positive,Positive
service,bad,bad service,Negative,Negative
service,bad,bad service,Negative,Negative
woman manager,young,young woman manager,Negative,Neutral
person,other,other person,Negative,Neutral
that,difficult,difficult that,Negative,Negative
it,flat,flat it,Negative,Neutral
poke,slow,slow poke,Negative,Negative
poke,‚Äç,‚Äç poke,Negative,Neutral
hair üßë,white,white hair üßë,Negative,Neutral
food,fresh,fresh food,Positive,Positive
food,quick,quick food,Positive,Positive
drink,wrong,wrong drink,Negative,Negative
sandwich,hard,hard sandwich,Negative,Negative
nugget,overcooked,overcooked nugget,Negative,Negative
nugget,little,little nugget,Negative,Neutral
fry,hot,hot fry,Negative,Positive
fry,fresh,fresh fry,Negative,Positive
experience,overall,overall experience,Negative,Neutral
experience,ok,ok experience,Negative,Neutral
they,racist,racist they,Negative,Negative
sandwich biscuit,hard,hard sandwich biscuit,Negative,Negative
people,black,black people,Negative,Neutral
worker,black,black worker,Negative,Neutral
location,nice,nice location,Negative,Positive
location,odd,odd location,Negative,Negative
staff,bad,bad staff,Negative,Negative
food,cold,cold food,Negative,Negative
beggar,aggressive,aggressive beggar,Negative,Neutral
shelter,homeless,homeless shelter,Negative,Negative
food,great,great food,Positive,Positive
whopper,angry,angry whopper,Positive,Neutral
grandson,old,old grandson,Positive,Neutral
case,specific,specific case,Positive,Neutral
you,good,good you,Positive,Positive
wait,ridiculous,ridiculous wait,Positive,Positive
worker,miserable,miserable worker,Negative,Negative
food,disgusting,disgusting food,Negative,Negative
everything,old,old everything,Negative,Negative
time,last,last time,Negative,Neutral
i,sick,sick i,Negative,Neutral
i,little,little i,Negative,Neutral
bite,few,few bite,Negative,Neutral
burger king,particular,particular burger king,Negative,Neutral
burger king,typical,typical burger king,Negative,Neutral
location,quiet,quiet location,Negative,Positive
it,quiet,quiet it,Negative,Neutral
seat,available,available seat,Negative,Positive
loiterer,occasional,occasional loiterer,Negative,Neutral
staff,receptive,receptive staff,Negative,Negative
facility,clean,clean facility,Negative,Positive
food,good,good food,Negative,Positive
food,cold,cold food,Negative,Negative
service,simple,simple service,Positive,Neutral
it,little,little it,Positive,Neutral
island,long,long island,Negative,Negative
food,horrible,horrible food,Negative,Negative
oil,burnt,burnt oil,Negative,Negative
oil,dirty,dirty oil,Negative,Negative
everything,old,old everything,Negative,Negative
staff,nice,nice staff,Positive,Positive
food,interesting,interesting food,Positive,Positive
food,delicious,delicious food,Positive,Positive
this,favorite,favorite this,Negative,Positive
this,least,least this,Negative,Neutral
smell,bad,bad smell,Negative,Negative
food,disgusting,disgusting food,Negative,Negative
chicken fry,hard,hard chicken fry,Negative,Negative
chicken fry,cold,cold chicken fry,Negative,Negative
ketchup,much,much ketchup,Negative,Neutral
burger king,worse,worse burger king,Negative,Negative
girl,late,late girl,Neutral,Neutral
guy,better,better guy,Neutral,Positive
costumer service,bad,bad costumer service,Negative,Negative
food quality,bad,bad food quality,Negative,Negative
cooky,hard,hard cooky,Negative,Negative
burger king,other,other burger king,Negative,Neutral
one,ok,ok one,Negative,Neutral
ingredient,not best,not best ingredient,Negative,Negative
tomato,not ripe,not ripe tomato,Negative,Negative
lettuce,sparse,sparse lettuce,Negative,Neutral
it,ok,ok it,Negative,Neutral
reason,only,only reason,Negative,Neutral
location,convenient,convenient location,Negative,Positive
service,slow,slow service,Negative,Negative
service,good,good service,Negative,Positive
floor,dirty,dirty floor,Negative,Negative
restroom,dirty,dirty restroom,Negative,Negative
food,fast,fast food,Positive,Neutral
order,fresh,fresh order,Positive,Positive
volume,moderate,moderate volume,Positive,Neutral
delivery service,terrible,terrible delivery service,Negative,Negative
place,busy,busy place,Positive,Negative
place,cool,cool place,Positive,Positive
time,long,long time,Positive,Negative
place,dirty,dirty place,Negative,Negative
work,less,less work,Negative,Negative
food,not fresh,not fresh food,Negative,Negative
food,free,free food,Negative,Positive
manager,assistant,assistant manager,Negative,Neutral
burger king,kid,kid burger king,Positive,Neutral
order,correct,correct order,Positive,Neutral
food,hot,hot food,Positive,Positive
burger king,regular,regular burger king,Positive,Neutral
they,open,open they,Positive,Neutral
bathroom,dirty,dirty bathroom,Negative,Negative
food,not hot,not hot food,Negative,Negative
counter,front,front counter,Negative,Neutral
service,fast,fast service,Positive,Positive
service,hot,hot service,Positive,Positive
order,correct,correct order,Positive,Positive
it,hot,hot it,Negative,Neutral
people,many,many people,Negative,Neutral
lunch stop,greatest,greatest lunch stop,Positive,Neutral
whooper,delicious,delicious whooper,Positive,Positive
food,good,good food,Positive,Positive
this,worse,worse this,Negative,Negative
food,disgraceful,disgraceful food,Negative,Negative
chance,second,second chance,Negative,Neutral
taste,broiled,broiled taste,Negative,Negative
restaurant,not good,not good restaurant,Negative,Negative
restaurant,not horrible,not horrible restaurant,Negative,Negative
daughter,cold,cold daughter,Neutral,Negative
set,cold,cold set,Neutral,Negative
burger king,other,other burger king,Negative,Neutral
people,nasty,nasty people,Negative,Negative
food,accessible,accessible food,Positive,Positive
food,fresh,fresh food,Positive,Positive
wheelchair,fresh,fresh wheelchair,Positive,Positive
service,rude,rude service,Negative,Negative
service,rude,rude service,Negative,Negative
day,bad,bad day,Negative,Negative
food restaurant,horrible,horrible food restaurant,Negative,Negative
food restaurant,fast,fast food restaurant,Negative,Neutral
driver,rude,rude driver,Negative,Negative
service,horrible,horrible service,Negative,Negative
